file_id,neighborhood,date,count,type,x,y
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279560.30869495,1842839.7546315268
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279647.127261684,1842869.7525059492
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279725.171000665,1842757.323157346
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279971.59683493,1842496.288718826
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279838.412635334,1841983.1576513804
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6278453.510176061,1841543.8747771897
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,3,6280039.595352942,1842663.794870616
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,5,2,6279989.307161605,1842806.5852439974
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,2,6279861.24946326,1842481.701352018
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,2,2,6279997.842073592,1842287.494199874
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,3,1,6279997.6985605275,1841641.2411801973
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,13,1,6279863.211833484,1841545.384420347
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,5,1,6279037.807740966,1841784.5356532333
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,4,1,6279050.73006683,1841336.658220623
KG1KwaTjh3AMXhJVp+vLk/SSyo0ihjggU6iogw==,columbia,,1,1,6279560.30869495,1842839.7546315268
