image_url,file_id,source_file,url_year,url_month,date,neighborhood,url_neighborhood,total_count,temp,rain
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201605-003.png,SMP9dZtR7VFsiA0o5s9jckL/5RXb4Gug4CWkXA==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,5,2016-05-01,marina,marina,38.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201606-003.png,Og66w6Czui20T6tvL8jFHsf1767A82JAOLxbcg==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,6,2016-06-30,marina,marina,38.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201607-003.png,KzSx2KB4atVQi1Cnesq+vKpupZBw2AiciUA46Q==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,7,2016-07-28,marina,marina,45.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201608-003.png,ByoKn+iUEBD1ZpeuA90DjCMYMartx+iuuGWGww==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,8,2016-08-24,marina,marina,51.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201609-003.png,y2BN6G/u3h6WVQ53VklXxawzic4ufwwAQauU7w==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,9,2016-09-01,marina,marina,48.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201610-003.png,1UZFSAk+jOwMokSxOUrfJ9rnDYvYZSo+JVh6NQ==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,10,2016-10-27,marina,marina,44.0,,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201611-003.png,8kSTxjlgDGrLa3AuRrX91+NIDjtlOjItj2S5Kg==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,11,2016-11-23,marina,marina,18.0,50.0,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/marina/201612-003.png,eA0cY9Xm85axckdA0V5DCqupxS33mF4oa71/HA==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/marina-homeless-2016.json,2016,12,2016-12-29,marina,marina,36.0,48.0,
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201801-003.png,l4xoAvEQP3HbYSDC34uaoURS9NGCY7pUCET1XA==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json,2018,1,2018-01-24,core,core,117.0,52.0,clear
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/core/201802-003.png,vxzTTHAp7AHcL/1U+XeOTRq2fJ1Ri06SoWKlrw==,/Users/eric/Google Sync/sandiegodata.org/Projects/Downtown Partnership Homeless/Annotations/complete/count/core-homeless-2018.json,2018,2,2018-02-21,core,core,148.0,52.0,clear
