image_url,x,y,width,height,intersection
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,881,1602,70,55,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201412-005.png,873,82,68,43,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201801-004.png,1163,974,43,43,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201801-004.png,1764,976,41,49,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201801-004.png,1761,368,41,41,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201801-004.png,1161,370,45,39,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201802-004.png,1105,931,54,50,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201802-004.png,1712,929,41,52,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201802-004.png,1703,338,45,41,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201802-004.png,1099,333,43,43,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201803-004.png,1144,966,50,54,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201803-004.png,1744,963,47,49,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201803-004.png,1736,370,43,43,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201803-004.png,1138,368,39,45,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201804-004.png,1037,873,28,36,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201804-004.png,1333,873,24,36,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201804-004.png,1331,475,24,30,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201804-004.png,1036,475,24,34,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201805-004.png,792,663,34,38,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201805-004.png,1211,662,33,39,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201805-004.png,1211,238,33,31,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201805-004.png,793,240,38,27,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201806-004.png,810,660,33,36,Ketner_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201806-004.png,1235,656,31,35,State_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201806-004.png,1240,228,30,30,State_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/columbia/201806-004.png,815,228,33,31,Ketner_A
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201501-004.png,1310,268,80,62,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201501-004.png,1987,275,87,62,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201501-004.png,1234,2407,98,69,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201501-004.png,1911,2418,83,62,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201502-006.png,1278,174,80,69,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201502-006.png,1958,185,80,65,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201502-006.png,1238,2324,98,69,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201502-006.png,1922,2335,80,58,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201503-003.png,637,59,45,33,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201503-003.png,981,66,47,33,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201503-003.png,602,1148,45,36,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201503-003.png,955,1158,43,35,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201504-006.png,1325,235,90,72,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201504-006.png,1998,250,90,69,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201504-006.png,1245,2382,109,65,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201504-006.png,1929,2407,98,65,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201505-006.png,1321,228,87,65,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201505-006.png,1987,235,94,72,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201505-006.png,1252,2357,105,72,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201505-006.png,1933,2378,94,69,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201506-002.png,885,99,63,48,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201506-002.png,1367,111,68,48,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201506-002.png,854,1620,70,48,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201506-002.png,1333,1635,75,46,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201507-006.png,863,128,63,46,4th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201507-006.png,1329,140,60,46,6th_Broadway
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201507-006.png,842,1596,65,55,4th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201507-006.png,1302,1604,60,46,6th_K
http://ds.civicknowledge.org/downtownsandiego.org/homeless-count/gaslamp/201508-006.png,879,169,63,46,4th_Broadway
