,neighborhood,date,type,x,y
17275,east_village,2017-11-29,Individual,6282351.080364035,1840327.4340509877
17276,east_village,2017-11-29,Individual,6282353.636027839,1840328.4281650034
17277,east_village,2017-11-29,Individual,6282346.109827959,1840333.7623582429
17278,east_village,2017-11-29,Vehicle,6282531.964286643,1840453.9987578243
17279,east_village,2017-11-29,Individual,6282639.359659493,1840457.1487171836
17280,east_village,2017-11-29,Individual,6282635.549684266,1840448.5729839222
17281,east_village,2017-11-29,Individual,6282636.63552967,1840457.9346431503
17282,east_village,2017-11-29,Individual,6282704.9740836695,1840346.6513346143
17283,east_village,2017-11-29,Individual,6282101.092234539,1840160.9512489345
17284,east_village,2017-11-29,Individual,6282185.926922158,1840093.7194354925
17285,east_village,2017-11-29,Individual,6282184.339403431,1840094.1593343634
17286,east_village,2017-11-29,Individual,6282485.240408203,1840077.811667167
17287,east_village,2017-11-29,Individual,6282371.305600192,1839941.6176255618
17288,east_village,2017-11-29,Individual,6282467.859054322,1839944.3028772527
17289,east_village,2017-11-29,Individual,6282723.008633769,1840161.9727837078
17290,east_village,2017-11-29,Individual,6282721.846496761,1840158.1581723061
17291,east_village,2017-11-29,Individual,6282717.348926898,1840154.3270970422
17292,east_village,2017-11-29,Individual,6282743.079720493,1840059.244693189
17293,east_village,2017-11-29,Individual,6282918.872772107,1840060.0135111415
17294,east_village,2017-11-29,Individual,6283030.70318416,1840055.9601607532
17295,east_village,2017-11-29,Individual,6283028.061697456,1840050.8876800195
17296,east_village,2017-11-29,Individual,6283031.860092456,1840476.0831491074
17297,east_village,2017-11-29,Individual,6283304.448758804,1840394.0908285766
17298,east_village,2017-11-29,Individual,6283225.645372632,1840333.7345735505
17299,east_village,2017-11-29,Individual,6283770.3844422465,1840062.4888691618
17300,east_village,2017-11-29,Individual,6283775.937173333,1840062.3867833104
17301,east_village,2017-11-29,Individual,6283778.5341750225,1840063.8196720215
17302,east_village,2017-11-29,Individual,6283774.837198805,1840062.5678490764
17303,east_village,2017-11-29,Individual,6284146.068804206,1840430.6106148653
17304,east_village,2017-11-29,Individual,6284149.436992379,1840425.5231966467
17305,east_village,2017-11-29,Individual,6284329.131440549,1840428.431844676
17306,east_village,2017-11-29,Structure,6284407.584912654,1840328.850613347
17307,east_village,2017-11-29,Individual,6284540.222319437,1840329.9814618598
