url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1DQAvc6BOhC1s6ESRzsyFS1hX9HdsZqmO
",east_village,"POLYGON ((267.5 1457.5, 267.5 1027.5, 1252.5 1024, 1253 1456.5, 267.5 1457.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.76428254726476, -0.003018253276762411, 0.0], [0.0041909731897141565, 2.6782670097349808, 0.0], [6281528.347159376, 1837123.5605404077, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/1EJsQTvQNzbBo2FqUkM9MGcAnHdTYuK11
",gaslamp,"POLYGON ((969.5 1853.5, 963 1125, 1344 1122.5, 1349 1850, 969.5 1853.5))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.4660348835686774, 0.02643532701147194, 0.0], [-0.010895189385482238, 3.685228987147138, 0.0], [6280033.673479533, 1834552.731422945, 1.0]]"
"https://lh3.googleusercontent.com/d/1EkNHTneZBt6CMCa5DNVLBRVBv6Gh3hmy
",golden_hill,"POLYGON ((236 1617, 235.5 1295, 1169.5 1326.5, 1166 1616, 236 1617))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.529653114145662, -0.016377055602278968, 0.0], [-0.00034514677693156824, 3.561808796473682, 0.0], [6285016.7650113115, 1836409.5181816763, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/1FLJ41rYUKEByb2beuLHSaGeTxn7PlEys
",barrio_logan,"POLYGON ((436.5 1486.5, 1033 1003.5, 1239.5 1263.5, 499 1865, 436.5 1486.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.4177980326493036, -0.06266397719505613, 0.0], [-0.032187261410361025, 3.4905903835448546, 0.0], [6283359.775486778, 1831015.3581710788, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/1FXzy2MfJVTUDHzr_VoFYO4HgCdPZ5D2E
",barrio_logan,"POLYGON ((433.5 1489, 1032 1006, 1238 1266.5, 495 1866.5, 433.5 1489))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.4141454550283306, -0.06416172992533577, 0.0], [-0.022542661458005212, 3.4937636526114866, 0.0], [6283357.3199421, 1831003.6520429226, 1.0]]"
"https://lh3.googleusercontent.com/d/1FfYLu5qxVLmwrKDf_rBn6-4pR2o5nWfL
",columbia,"POLYGON ((850.5 1746.5, 850 1301.5, 1285.5 1301.5, 1284 1746.5, 850.5 1746.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.8985149060409132, -0.011678041116436586, 0.0], [0.022552263957390968, 2.532732946021631, 0.0], [6277301.008937558, 1838150.1172990068, 1.0]]"
"https://lh3.googleusercontent.com/d/1Gi3YJZOPu7LZnvNSAfJ7Kbwf97YLQfZ1
",cortez,"POLYGON ((544.5 1559, 541 1280.5, 1308 1284, 1311 1563, 544.5 1559))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.924130637935967, -0.028437655930332418, 0.0], [-0.019754833160753084, 2.7182269424102423, 0.0], [6279037.471977617, 1839474.8424469428, 1.0]]"
"https://lh3.googleusercontent.com/d/1HqqZnjWDNwumhQGbNJr-yEMhonAjHcKZ
",marina,"POLYGON ((337.5 1583, 338.5 1450, 1178 1038.5, 1177.5 1584.5, 337.5 1583))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.64591972663205, 0.00078351688905632, 0.0], [-0.0052905641145313135, 2.837421267758752, 0.0], [6278044.70419484, 1835773.292519373, 1.0]]"
"https://lh3.googleusercontent.com/d/1IAlTUUtPManzNHR2yHo-sdtfLwxFFpUn
",columbia,"POLYGON ((847.5 1729.5, 847 1298.5, 1270.5 1300.5, 1269 1731.5, 847.5 1729.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9523258118154712, -0.024388436947238037, 0.0], [0.023347344246150037, 2.6149879714746898, 0.0], [6277260.135151693, 1838061.6443835774, 0.9999999999999996]]"
"https://lh3.googleusercontent.com/d/1IMphB5m-uYiLASOZFpJR5h21TDU7bpJg
",east_village_south,"POLYGON ((313.5 1679, 311.5 1103, 1251.5 1107, 1253.5 1683, 313.5 1679))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.89245205411895, -0.04427218173790682, 0.0], [-0.0032866665698948476, 3.2980291844713845, 0.0], [6281372.78920205, 1834359.200195138, 1.0]]"
"https://lh3.googleusercontent.com/d/1IgNlV29B1wRbaBGzvNm0mMQsh_3-3FSU
",gaslamp,"POLYGON ((956.5 1911.5, 957.5 1154.5, 1334.5 1158, 1340 1906, 956.5 1911.5))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.4660781479078977, 0.007107943448619589, 0.0], [-0.0037004066824197946, 3.565300178973066, 0.0], [6280036.6462278385, 1834594.023775943, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1JdXzLfR5eNJ1KzuejqTnrQE36tr86dYl
",barrio_logan,"POLYGON ((434.5 1492, 1034 1012, 1239 1271.5, 495.5 1870.5, 434.5 1492))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.4161624765636316, -0.07144729748975975, 0.0], [-0.015596991797329362, 3.49672597357195, 0.0], [6283342.161527726, 1830989.654890624, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1JzQ5ZflZ7BAm4KOvjy0coayOY9c1F98s
",east_village,"POLYGON ((271 1443, 268 1007, 1256.5 1002.5, 1260.5 1446, 271 1443))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.7537789925469704, -0.007111175134177477, 0.0], [-0.0162505826939697, 2.6264355560760313, 0.0], [6281550.763719478, 1837235.0342947878, 0.9999999999999997]]"
"https://lh3.googleusercontent.com/d/1K2H0o7V7P90r0cqkty9Q8phu_mX6h4n5
",golden_hill,"POLYGON ((235 1622, 233.5 1300, 1166.5 1326.5, 1164 1618, 235 1622))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.5335812662546138, -0.0009516392696153025, 0.0], [-0.011722386337400558, 3.551011914279613, 0.0], [6285037.762772517, 1836403.841043446, 1.0000000000000002]]"
